codigo_cnae,descricao_cnae,secao,divisao,grupo,classe
0122907,,A,01,,
0122908,,A,01,,
0122909,,A,01,,
0125301,,A,01,,
0125302,,A,01,,
0131801,,A,01,,
0131802,,A,01,,
0141503,,A,01,,
0142301,,A,01,,
0142302,,A,01,,
0142303,,A,01,,
0143101,,A,01,,
0143102,,A,01,,
0144000,,A,01,,
0145801,,A,01,,
0145802,,A,01,,
0145803,,A,01,,
0145804,,A,01,,
0145805,,A,01,,
0149101,,A,01,,
0149102,,A,01,,
0149103,,A,01,,
0149104,,A,01,,
0149199,,A,01,,
0220907,,A,02,,
0220908,,A,02,,
0220909,,A,02,,
0312400,,A,03,,
1041401,,C,10,,
1041402,,C,10,,
1042201,,C,10,,
1042202,,C,10,,
1050301,,C,10,,
1050302,,C,10,,
1050303,,C,10,,
1066000,,C,10,,
1069400,,C,10,,
1121600,,C,11,,
1421500,,C,14,,
1422301,,C,14,,
1521101,,C,15,,
1521102,,C,15,,
1521103,,C,15,,
1529701,,C,15,,
1529702,,C,15,,
1539400,,C,15,,
2610801,,C,26,,
2610802,,C,26,,
2610803,,C,26,,
2610804,,C,26,,
2610805,,C,26,,
2640001,,C,26,,
2640002,,C,26,,
2759701,,C,27,,
2759799,,C,27,,
2870001,,C,28,,
2870002,,C,28,,
3101201,,C,31,,
3101202,,C,31,,
3312100,,C,33,,
3313902,,C,33,,
3314702,,C,33,,
3314703,,C,33,,
3314704,,C,33,,
3314705,,C,33,,
3314706,,C,33,,
3314707,,C,33,,
3314708,,C,33,,
3314709,,C,33,,
3314710,,C,33,,
3314711,,C,33,,
3314712,,C,33,,
3314713,,C,33,,
3314714,,C,33,,
3314715,,C,33,,
3314716,,C,33,,
3314717,,C,33,,
3314718,,C,33,,
3314719,,C,33,,
3314799,,C,33,,
3315500,,C,33,,
3316301,,C,33,,
3316302,,C,33,,
3317101,,C,33,,
3317102,,C,33,,
3319800,,C,33,,
3821200,,E,38,,
4221902,,F,42,,
4221903,,F,42,,
4221904,,F,42,,
4221905,,F,42,,
4291000,,F,42,,
4292801,,F,42,,
4292802,,F,42,,
4299501,,F,42,,
4299599,,F,42,,
4329199,,F,43,,
4330405,,F,43,,
4512901,,G,45,,
4512902,,G,45,,
4520001,,G,45,,
4520002,,G,45,,
4520003,,G,45,,
4520004,,G,45,,
4520005,,G,45,,
4520006,,G,45,,
4520007,,G,45,,
4520008,,G,45,,
4541200,,G,45,,
4543900,,G,45,,
4922102,,H,49,,
4924800,,H,49,,
4929901,,H,49,,
4929902,,H,49,,
4929903,,H,49,,
4929904,,H,49,,
4929999,,H,49,,
4930202,,H,49,,
4930203,,H,49,,
4930204,,H,49,,
5021101,,H,50,,
5021102,,H,50,,
5022001,,H,50,,
5022002,,H,50,,
5030101,,H,50,,
5030102,,H,50,,
5030103,,H,50,,
5091201,,H,50,,
5091202,,H,50,,
5231101,,H,52,,
5231102,,H,52,,
5239700,,H,52,,
5240101,,H,52,,
5240102,,H,52,,
5240199,,H,52,,
5320201,,H,53,,
5320202,,H,53,,
5590602,,I,55,,
5590603,,I,55,,
5590699,,I,55,,
5611203,,I,56,,
5611204,,I,56,,
5611205,,I,56,,
5620102,,I,56,,
5620103,,I,56,,
5620104,,I,56,,
5812300,,J,58,,
6424701,,K,64,,
6424702,,K,64,,
6424703,,K,64,,
6424704,,K,64,,
6435203,,K,64,,
6436100,,K,64,,
6437900,,K,64,,
6438701,,K,64,,
6438799,,K,64,,
6440900,,K,64,,
6450600,,K,64,,
6461100,,K,64,,
6462000,,K,64,,
6463800,,K,64,,
6470101,,K,64,,
6470102,,K,64,,
6470103,,K,64,,
6470104,,K,64,,
6512900,,K,65,,
6530800,,K,65,,
6541300,,K,65,,
6542100,,K,65,,
6550200,,K,65,,
6612601,,K,66,,
6612602,,K,66,,
6612603,,K,66,,
6612604,,K,66,,
6612605,,K,66,,
6613400,,K,66,,
6619301,,K,66,,
6619302,,K,66,,
6619303,,K,66,,
6619304,,K,66,,
6619305,,K,66,,
6619399,,K,66,,
6621501,,K,66,,
6621502,,K,66,,
6622300,,K,66,,
6629100,,K,66,,
6821801,,L,68,,
6821802,,L,68,,
6822600,,L,68,,
6912500,,M,69,,
6920601,,M,69,,
6920602,,M,69,,
7112001,,M,71,,
7112002,,M,71,,
7112003,,M,71,,
7112004,,M,71,,
7112005,,M,71,,
7112006,,M,71,,
7112007,,M,71,,
7119799,,M,71,,
7210001,,M,72,,
7210002,,M,72,,
7220701,,M,72,,
7319001,,M,73,,
7319002,,M,73,,
7319003,,M,73,,
7319004,,M,73,,
7410299,,M,74,,
7420004,,M,74,,
7420005,,M,74,,
7490101,,M,74,,
7490102,,M,74,,
7490103,,M,74,,
7490104,,M,74,,
7490105,,M,74,,
7490199,,M,74,,
7722500,,N,77,,
7723300,,N,77,,
7729201,,N,77,,
7729202,,N,77,,
7729203,,N,77,,
7729299,,N,77,,
7731400,,N,77,,
7732201,,N,77,,
7732202,,N,77,,
7733100,,N,77,,
7739001,,N,77,,
7739002,,N,77,,
7739003,,N,77,,
7739099,,N,77,,
7740300,,N,77,,
8011102,,N,80,,
8020000,,N,80,,
8020001,,N,80,,
8030700,,N,80,,
8129000,,N,81,,
8292000,,N,82,,
8299701,,N,82,,
8299702,,N,82,,
8299703,,N,82,,
8299704,,N,82,,
8299705,,N,82,,
8299706,,N,82,,
8299707,,N,82,,
8299799,,N,82,,
8424800,,O,84,,
8425600,,O,84,,
8520101,,P,85,,
8520102,,P,85,,
8533300,,P,85,,
8541400,,P,85,,
8542200,,P,85,,
8550301,,P,85,,
8550302,,P,85,,
8591100,,P,85,,
8592901,,P,85,,
8592902,,P,85,,
8592903,,P,85,,
8592999,,P,85,,
8593700,,P,85,,
8599601,,P,85,,
8599602,,P,85,,
8599603,,P,85,,
8599604,,P,85,,
8599605,,P,85,,
8599699,,P,85,,
8630503,,Q,86,,
8630504,,Q,86,,
8630505,,Q,86,,
8630506,,Q,86,,
8640201,,Q,86,,
8640202,,Q,86,,
8640203,,Q,86,,
8640204,,Q,86,,
8640205,,Q,86,,
8640206,,Q,86,,
8640207,,Q,86,,
8640208,,Q,86,,
8640209,,Q,86,,
8640210,,Q,86,,
8640211,,Q,86,,
8640212,,Q,86,,
8640213,,Q,86,,
8640214,,Q,86,,
8640299,,Q,86,,
8650001,,Q,86,,
8650002,,Q,86,,
8650003,,Q,86,,
8650004,,Q,86,,
8650005,,Q,86,,
8650006,,Q,86,,
8650007,,Q,86,,
8650099,,Q,86,,
8660700,,Q,86,,
8690901,,Q,86,,
8690902,,Q,86,,
8690903,,Q,86,,
8690904,,Q,86,,
8690999,,Q,86,,
8711501,,Q,87,,
8711502,,Q,87,,
8711503,,Q,87,,
8711504,,Q,87,,
8711505,,Q,87,,
8720401,,Q,87,,
8720499,,Q,87,,
8730101,,Q,87,,
8730102,,Q,87,,
8730199,,Q,87,,
9001904,,R,90,,
9001905,,R,90,,
9001906,,R,90,,
9001999,,R,90,,
9002701,,R,90,,
9002702,,R,90,,
9003500,,R,90,,
9321200,,R,93,,
9329801,,R,93,,
9329802,,R,93,,
9329803,,R,93,,
9329804,,R,93,,
9329899,,R,93,,
9412099,,S,94,,
9420100,,S,94,,
9430800,,S,94,,
9491000,,S,94,,
9492800,,S,94,,
9493600,,S,94,,
9499500,,S,94,,
9529101,,S,95,,
9529102,,S,95,,
9529103,,S,95,,
9529104,,S,95,,
9529105,,S,95,,
9529106,,S,95,,
9529199,,S,95,,
9603301,,S,96,,
9603302,,S,96,,
